WKT;left;top;right;bottom;alive
"POLYGON ((11 3,11 4,12 4,12 3,11 3))";11.0000000000000000;3.0000000000000000;12.0000000000000000;4.0000000000000000;0
"POLYGON ((11 4,11 5,12 5,12 4,11 4))";11.0000000000000000;4.0000000000000000;12.0000000000000000;5.0000000000000000;0
"POLYGON ((11 5,11 6,12 6,12 5,11 5))";11.0000000000000000;5.0000000000000000;12.0000000000000000;6.0000000000000000;0
"POLYGON ((11 6,11 7,12 7,12 6,11 6))";11.0000000000000000;6.0000000000000000;12.0000000000000000;7.0000000000000000;0
"POLYGON ((11 7,11 8,12 8,12 7,11 7))";11.0000000000000000;7.0000000000000000;12.0000000000000000;8.0000000000000000;0
"POLYGON ((11 8,11 9,12 9,12 8,11 8))";11.0000000000000000;8.0000000000000000;12.0000000000000000;9.0000000000000000;0
"POLYGON ((11 9,11 10,12 10,12 9,11 9))";11.0000000000000000;9.0000000000000000;12.0000000000000000;10.0000000000000000;0
"POLYGON ((11 10,11 11,12 11,12 10,11 10))";11.0000000000000000;10.0000000000000000;12.0000000000000000;11.0000000000000000;0
"POLYGON ((11 11,11 12,12 12,12 11,11 11))";11.0000000000000000;11.0000000000000000;12.0000000000000000;12.0000000000000000;0
"POLYGON ((11 12,11 13,12 13,12 12,11 12))";11.0000000000000000;12.0000000000000000;12.0000000000000000;13.0000000000000000;0
"POLYGON ((11 13,11 14,12 14,12 13,11 13))";11.0000000000000000;13.0000000000000000;12.0000000000000000;14.0000000000000000;0
"POLYGON ((11 14,11 15,12 15,12 14,11 14))";11.0000000000000000;14.0000000000000000;12.0000000000000000;15.0000000000000000;0
"POLYGON ((11 15,11 16,12 16,12 15,11 15))";11.0000000000000000;15.0000000000000000;12.0000000000000000;16.0000000000000000;0
"POLYGON ((11 16,11 17,12 17,12 16,11 16))";11.0000000000000000;16.0000000000000000;12.0000000000000000;17.0000000000000000;0
"POLYGON ((11 17,11 18,12 18,12 17,11 17))";11.0000000000000000;17.0000000000000000;12.0000000000000000;18.0000000000000000;0
"POLYGON ((11 18,11 19,12 19,12 18,11 18))";11.0000000000000000;18.0000000000000000;12.0000000000000000;19.0000000000000000;0
"POLYGON ((11 19,11 20,12 20,12 19,11 19))";11.0000000000000000;19.0000000000000000;12.0000000000000000;20.0000000000000000;0
"POLYGON ((12 3,12 4,13 4,13 3,12 3))";12.0000000000000000;3.0000000000000000;13.0000000000000000;4.0000000000000000;0
"POLYGON ((12 4,12 5,13 5,13 4,12 4))";12.0000000000000000;4.0000000000000000;13.0000000000000000;5.0000000000000000;0
"POLYGON ((12 5,12 6,13 6,13 5,12 5))";12.0000000000000000;5.0000000000000000;13.0000000000000000;6.0000000000000000;0
"POLYGON ((12 6,12 7,13 7,13 6,12 6))";12.0000000000000000;6.0000000000000000;13.0000000000000000;7.0000000000000000;0
"POLYGON ((12 7,12 8,13 8,13 7,12 7))";12.0000000000000000;7.0000000000000000;13.0000000000000000;8.0000000000000000;0
"POLYGON ((12 8,12 9,13 9,13 8,12 8))";12.0000000000000000;8.0000000000000000;13.0000000000000000;9.0000000000000000;0
"POLYGON ((12 9,12 10,13 10,13 9,12 9))";12.0000000000000000;9.0000000000000000;13.0000000000000000;10.0000000000000000;0
"POLYGON ((12 10,12 11,13 11,13 10,12 10))";12.0000000000000000;10.0000000000000000;13.0000000000000000;11.0000000000000000;0
"POLYGON ((12 11,12 12,13 12,13 11,12 11))";12.0000000000000000;11.0000000000000000;13.0000000000000000;12.0000000000000000;0
"POLYGON ((12 12,12 13,13 13,13 12,12 12))";12.0000000000000000;12.0000000000000000;13.0000000000000000;13.0000000000000000;0
"POLYGON ((12 13,12 14,13 14,13 13,12 13))";12.0000000000000000;13.0000000000000000;13.0000000000000000;14.0000000000000000;0
"POLYGON ((12 14,12 15,13 15,13 14,12 14))";12.0000000000000000;14.0000000000000000;13.0000000000000000;15.0000000000000000;0
"POLYGON ((12 15,12 16,13 16,13 15,12 15))";12.0000000000000000;15.0000000000000000;13.0000000000000000;16.0000000000000000;0
"POLYGON ((12 16,12 17,13 17,13 16,12 16))";12.0000000000000000;16.0000000000000000;13.0000000000000000;17.0000000000000000;0
"POLYGON ((12 17,12 18,13 18,13 17,12 17))";12.0000000000000000;17.0000000000000000;13.0000000000000000;18.0000000000000000;0
"POLYGON ((12 18,12 19,13 19,13 18,12 18))";12.0000000000000000;18.0000000000000000;13.0000000000000000;19.0000000000000000;0
"POLYGON ((12 19,12 20,13 20,13 19,12 19))";12.0000000000000000;19.0000000000000000;13.0000000000000000;20.0000000000000000;0
"POLYGON ((13 3,13 4,14 4,14 3,13 3))";13.0000000000000000;3.0000000000000000;14.0000000000000000;4.0000000000000000;0
"POLYGON ((13 4,13 5,14 5,14 4,13 4))";13.0000000000000000;4.0000000000000000;14.0000000000000000;5.0000000000000000;0
"POLYGON ((13 5,13 6,14 6,14 5,13 5))";13.0000000000000000;5.0000000000000000;14.0000000000000000;6.0000000000000000;0
"POLYGON ((13 6,13 7,14 7,14 6,13 6))";13.0000000000000000;6.0000000000000000;14.0000000000000000;7.0000000000000000;0
"POLYGON ((13 7,13 8,14 8,14 7,13 7))";13.0000000000000000;7.0000000000000000;14.0000000000000000;8.0000000000000000;0
"POLYGON ((13 8,13 9,14 9,14 8,13 8))";13.0000000000000000;8.0000000000000000;14.0000000000000000;9.0000000000000000;0
"POLYGON ((13 9,13 10,14 10,14 9,13 9))";13.0000000000000000;9.0000000000000000;14.0000000000000000;10.0000000000000000;0
"POLYGON ((13 10,13 11,14 11,14 10,13 10))";13.0000000000000000;10.0000000000000000;14.0000000000000000;11.0000000000000000;0
"POLYGON ((13 11,13 12,14 12,14 11,13 11))";13.0000000000000000;11.0000000000000000;14.0000000000000000;12.0000000000000000;0
"POLYGON ((13 12,13 13,14 13,14 12,13 12))";13.0000000000000000;12.0000000000000000;14.0000000000000000;13.0000000000000000;0
"POLYGON ((13 13,13 14,14 14,14 13,13 13))";13.0000000000000000;13.0000000000000000;14.0000000000000000;14.0000000000000000;0
"POLYGON ((13 14,13 15,14 15,14 14,13 14))";13.0000000000000000;14.0000000000000000;14.0000000000000000;15.0000000000000000;0
"POLYGON ((13 15,13 16,14 16,14 15,13 15))";13.0000000000000000;15.0000000000000000;14.0000000000000000;16.0000000000000000;0
"POLYGON ((13 16,13 17,14 17,14 16,13 16))";13.0000000000000000;16.0000000000000000;14.0000000000000000;17.0000000000000000;0
"POLYGON ((13 17,13 18,14 18,14 17,13 17))";13.0000000000000000;17.0000000000000000;14.0000000000000000;18.0000000000000000;0
"POLYGON ((13 18,13 19,14 19,14 18,13 18))";13.0000000000000000;18.0000000000000000;14.0000000000000000;19.0000000000000000;0
"POLYGON ((13 19,13 20,14 20,14 19,13 19))";13.0000000000000000;19.0000000000000000;14.0000000000000000;20.0000000000000000;0
"POLYGON ((14 3,14 4,15 4,15 3,14 3))";14.0000000000000000;3.0000000000000000;15.0000000000000000;4.0000000000000000;0
"POLYGON ((14 4,14 5,15 5,15 4,14 4))";14.0000000000000000;4.0000000000000000;15.0000000000000000;5.0000000000000000;0
"POLYGON ((14 5,14 6,15 6,15 5,14 5))";14.0000000000000000;5.0000000000000000;15.0000000000000000;6.0000000000000000;0
"POLYGON ((14 6,14 7,15 7,15 6,14 6))";14.0000000000000000;6.0000000000000000;15.0000000000000000;7.0000000000000000;0
"POLYGON ((14 7,14 8,15 8,15 7,14 7))";14.0000000000000000;7.0000000000000000;15.0000000000000000;8.0000000000000000;0
"POLYGON ((14 8,14 9,15 9,15 8,14 8))";14.0000000000000000;8.0000000000000000;15.0000000000000000;9.0000000000000000;0
"POLYGON ((14 9,14 10,15 10,15 9,14 9))";14.0000000000000000;9.0000000000000000;15.0000000000000000;10.0000000000000000;0
"POLYGON ((14 10,14 11,15 11,15 10,14 10))";14.0000000000000000;10.0000000000000000;15.0000000000000000;11.0000000000000000;0
"POLYGON ((14 11,14 12,15 12,15 11,14 11))";14.0000000000000000;11.0000000000000000;15.0000000000000000;12.0000000000000000;0
"POLYGON ((14 12,14 13,15 13,15 12,14 12))";14.0000000000000000;12.0000000000000000;15.0000000000000000;13.0000000000000000;0
"POLYGON ((14 13,14 14,15 14,15 13,14 13))";14.0000000000000000;13.0000000000000000;15.0000000000000000;14.0000000000000000;0
"POLYGON ((14 14,14 15,15 15,15 14,14 14))";14.0000000000000000;14.0000000000000000;15.0000000000000000;15.0000000000000000;0
"POLYGON ((14 15,14 16,15 16,15 15,14 15))";14.0000000000000000;15.0000000000000000;15.0000000000000000;16.0000000000000000;0
"POLYGON ((14 16,14 17,15 17,15 16,14 16))";14.0000000000000000;16.0000000000000000;15.0000000000000000;17.0000000000000000;0
"POLYGON ((14 17,14 18,15 18,15 17,14 17))";14.0000000000000000;17.0000000000000000;15.0000000000000000;18.0000000000000000;0
"POLYGON ((14 18,14 19,15 19,15 18,14 18))";14.0000000000000000;18.0000000000000000;15.0000000000000000;19.0000000000000000;0
"POLYGON ((14 19,14 20,15 20,15 19,14 19))";14.0000000000000000;19.0000000000000000;15.0000000000000000;20.0000000000000000;0
"POLYGON ((15 3,15 4,16 4,16 3,15 3))";15.0000000000000000;3.0000000000000000;16.0000000000000000;4.0000000000000000;0
"POLYGON ((15 4,15 5,16 5,16 4,15 4))";15.0000000000000000;4.0000000000000000;16.0000000000000000;5.0000000000000000;0
"POLYGON ((15 5,15 6,16 6,16 5,15 5))";15.0000000000000000;5.0000000000000000;16.0000000000000000;6.0000000000000000;0
"POLYGON ((15 6,15 7,16 7,16 6,15 6))";15.0000000000000000;6.0000000000000000;16.0000000000000000;7.0000000000000000;0
"POLYGON ((15 7,15 8,16 8,16 7,15 7))";15.0000000000000000;7.0000000000000000;16.0000000000000000;8.0000000000000000;0
"POLYGON ((15 8,15 9,16 9,16 8,15 8))";15.0000000000000000;8.0000000000000000;16.0000000000000000;9.0000000000000000;0
"POLYGON ((15 9,15 10,16 10,16 9,15 9))";15.0000000000000000;9.0000000000000000;16.0000000000000000;10.0000000000000000;0
"POLYGON ((15 10,15 11,16 11,16 10,15 10))";15.0000000000000000;10.0000000000000000;16.0000000000000000;11.0000000000000000;0
"POLYGON ((15 11,15 12,16 12,16 11,15 11))";15.0000000000000000;11.0000000000000000;16.0000000000000000;12.0000000000000000;0
"POLYGON ((15 12,15 13,16 13,16 12,15 12))";15.0000000000000000;12.0000000000000000;16.0000000000000000;13.0000000000000000;0
"POLYGON ((15 13,15 14,16 14,16 13,15 13))";15.0000000000000000;13.0000000000000000;16.0000000000000000;14.0000000000000000;0
"POLYGON ((15 14,15 15,16 15,16 14,15 14))";15.0000000000000000;14.0000000000000000;16.0000000000000000;15.0000000000000000;0
"POLYGON ((15 15,15 16,16 16,16 15,15 15))";15.0000000000000000;15.0000000000000000;16.0000000000000000;16.0000000000000000;0
"POLYGON ((15 16,15 17,16 17,16 16,15 16))";15.0000000000000000;16.0000000000000000;16.0000000000000000;17.0000000000000000;0
"POLYGON ((15 17,15 18,16 18,16 17,15 17))";15.0000000000000000;17.0000000000000000;16.0000000000000000;18.0000000000000000;0
"POLYGON ((15 18,15 19,16 19,16 18,15 18))";15.0000000000000000;18.0000000000000000;16.0000000000000000;19.0000000000000000;0
"POLYGON ((15 19,15 20,16 20,16 19,15 19))";15.0000000000000000;19.0000000000000000;16.0000000000000000;20.0000000000000000;0
"POLYGON ((16 3,16 4,17 4,17 3,16 3))";16.0000000000000000;3.0000000000000000;17.0000000000000000;4.0000000000000000;0
"POLYGON ((16 4,16 5,17 5,17 4,16 4))";16.0000000000000000;4.0000000000000000;17.0000000000000000;5.0000000000000000;0
"POLYGON ((16 5,16 6,17 6,17 5,16 5))";16.0000000000000000;5.0000000000000000;17.0000000000000000;6.0000000000000000;0
"POLYGON ((16 6,16 7,17 7,17 6,16 6))";16.0000000000000000;6.0000000000000000;17.0000000000000000;7.0000000000000000;0
"POLYGON ((16 7,16 8,17 8,17 7,16 7))";16.0000000000000000;7.0000000000000000;17.0000000000000000;8.0000000000000000;0
"POLYGON ((16 8,16 9,17 9,17 8,16 8))";16.0000000000000000;8.0000000000000000;17.0000000000000000;9.0000000000000000;0
"POLYGON ((16 9,16 10,17 10,17 9,16 9))";16.0000000000000000;9.0000000000000000;17.0000000000000000;10.0000000000000000;0
"POLYGON ((16 10,16 11,17 11,17 10,16 10))";16.0000000000000000;10.0000000000000000;17.0000000000000000;11.0000000000000000;0
"POLYGON ((16 11,16 12,17 12,17 11,16 11))";16.0000000000000000;11.0000000000000000;17.0000000000000000;12.0000000000000000;0
"POLYGON ((16 12,16 13,17 13,17 12,16 12))";16.0000000000000000;12.0000000000000000;17.0000000000000000;13.0000000000000000;0
"POLYGON ((16 13,16 14,17 14,17 13,16 13))";16.0000000000000000;13.0000000000000000;17.0000000000000000;14.0000000000000000;0
"POLYGON ((16 14,16 15,17 15,17 14,16 14))";16.0000000000000000;14.0000000000000000;17.0000000000000000;15.0000000000000000;0
"POLYGON ((16 15,16 16,17 16,17 15,16 15))";16.0000000000000000;15.0000000000000000;17.0000000000000000;16.0000000000000000;0
"POLYGON ((16 16,16 17,17 17,17 16,16 16))";16.0000000000000000;16.0000000000000000;17.0000000000000000;17.0000000000000000;0
"POLYGON ((16 17,16 18,17 18,17 17,16 17))";16.0000000000000000;17.0000000000000000;17.0000000000000000;18.0000000000000000;0
"POLYGON ((16 18,16 19,17 19,17 18,16 18))";16.0000000000000000;18.0000000000000000;17.0000000000000000;19.0000000000000000;0
"POLYGON ((16 19,16 20,17 20,17 19,16 19))";16.0000000000000000;19.0000000000000000;17.0000000000000000;20.0000000000000000;0
"POLYGON ((17 3,17 4,18 4,18 3,17 3))";17.0000000000000000;3.0000000000000000;18.0000000000000000;4.0000000000000000;0
"POLYGON ((17 4,17 5,18 5,18 4,17 4))";17.0000000000000000;4.0000000000000000;18.0000000000000000;5.0000000000000000;0
"POLYGON ((17 5,17 6,18 6,18 5,17 5))";17.0000000000000000;5.0000000000000000;18.0000000000000000;6.0000000000000000;0
"POLYGON ((17 6,17 7,18 7,18 6,17 6))";17.0000000000000000;6.0000000000000000;18.0000000000000000;7.0000000000000000;0
"POLYGON ((17 7,17 8,18 8,18 7,17 7))";17.0000000000000000;7.0000000000000000;18.0000000000000000;8.0000000000000000;0
"POLYGON ((17 8,17 9,18 9,18 8,17 8))";17.0000000000000000;8.0000000000000000;18.0000000000000000;9.0000000000000000;0
"POLYGON ((17 9,17 10,18 10,18 9,17 9))";17.0000000000000000;9.0000000000000000;18.0000000000000000;10.0000000000000000;0
"POLYGON ((17 10,17 11,18 11,18 10,17 10))";17.0000000000000000;10.0000000000000000;18.0000000000000000;11.0000000000000000;0
"POLYGON ((17 11,17 12,18 12,18 11,17 11))";17.0000000000000000;11.0000000000000000;18.0000000000000000;12.0000000000000000;0
"POLYGON ((17 12,17 13,18 13,18 12,17 12))";17.0000000000000000;12.0000000000000000;18.0000000000000000;13.0000000000000000;0
"POLYGON ((17 13,17 14,18 14,18 13,17 13))";17.0000000000000000;13.0000000000000000;18.0000000000000000;14.0000000000000000;0
"POLYGON ((17 14,17 15,18 15,18 14,17 14))";17.0000000000000000;14.0000000000000000;18.0000000000000000;15.0000000000000000;0
"POLYGON ((17 15,17 16,18 16,18 15,17 15))";17.0000000000000000;15.0000000000000000;18.0000000000000000;16.0000000000000000;0
"POLYGON ((17 16,17 17,18 17,18 16,17 16))";17.0000000000000000;16.0000000000000000;18.0000000000000000;17.0000000000000000;0
"POLYGON ((17 17,17 18,18 18,18 17,17 17))";17.0000000000000000;17.0000000000000000;18.0000000000000000;18.0000000000000000;0
"POLYGON ((17 18,17 19,18 19,18 18,17 18))";17.0000000000000000;18.0000000000000000;18.0000000000000000;19.0000000000000000;0
"POLYGON ((17 19,17 20,18 20,18 19,17 19))";17.0000000000000000;19.0000000000000000;18.0000000000000000;20.0000000000000000;0
"POLYGON ((18 3,18 4,19 4,19 3,18 3))";18.0000000000000000;3.0000000000000000;19.0000000000000000;4.0000000000000000;0
"POLYGON ((18 4,18 5,19 5,19 4,18 4))";18.0000000000000000;4.0000000000000000;19.0000000000000000;5.0000000000000000;0
"POLYGON ((18 5,18 6,19 6,19 5,18 5))";18.0000000000000000;5.0000000000000000;19.0000000000000000;6.0000000000000000;0
"POLYGON ((18 6,18 7,19 7,19 6,18 6))";18.0000000000000000;6.0000000000000000;19.0000000000000000;7.0000000000000000;0
"POLYGON ((18 7,18 8,19 8,19 7,18 7))";18.0000000000000000;7.0000000000000000;19.0000000000000000;8.0000000000000000;0
"POLYGON ((18 8,18 9,19 9,19 8,18 8))";18.0000000000000000;8.0000000000000000;19.0000000000000000;9.0000000000000000;0
"POLYGON ((18 9,18 10,19 10,19 9,18 9))";18.0000000000000000;9.0000000000000000;19.0000000000000000;10.0000000000000000;0
"POLYGON ((18 10,18 11,19 11,19 10,18 10))";18.0000000000000000;10.0000000000000000;19.0000000000000000;11.0000000000000000;0
"POLYGON ((18 11,18 12,19 12,19 11,18 11))";18.0000000000000000;11.0000000000000000;19.0000000000000000;12.0000000000000000;0
"POLYGON ((18 12,18 13,19 13,19 12,18 12))";18.0000000000000000;12.0000000000000000;19.0000000000000000;13.0000000000000000;0
"POLYGON ((18 13,18 14,19 14,19 13,18 13))";18.0000000000000000;13.0000000000000000;19.0000000000000000;14.0000000000000000;0
"POLYGON ((18 14,18 15,19 15,19 14,18 14))";181.0000000000000000;14.0000000000000000;19.0000000000000000;15.0000000000000000;1
"POLYGON ((18 15,18 16,19 16,19 15,18 15))";18.0000000000000000;15.0000000000000000;19.0000000000000000;16.0000000000000000;1
"POLYGON ((18 16,18 17,19 17,19 16,18 16))";18.0000000000000000;16.0000000000000000;19.0000000000000000;17.0000000000000000;0
"POLYGON ((18 17,18 18,19 18,19 17,18 17))";18.0000000000000000;17.0000000000000000;19.0000000000000000;18.0000000000000000;0
"POLYGON ((18 18,18 19,19 19,19 18,18 18))";18.0000000000000000;18.0000000000000000;19.0000000000000000;19.0000000000000000;0
"POLYGON ((18 19,18 20,19 20,19 19,18 19))";18.0000000000000000;19.0000000000000000;19.0000000000000000;20.0000000000000000;0
"POLYGON ((19 3,19 4,20 4,20 3,19 3))";19.0000000000000000;3.0000000000000000;20.0000000000000000;4.0000000000000000;0
"POLYGON ((19 4,19 5,20 5,20 4,19 4))";19.0000000000000000;4.0000000000000000;20.0000000000000000;5.0000000000000000;0
"POLYGON ((19 5,19 6,20 6,20 5,19 5))";19.0000000000000000;5.0000000000000000;20.0000000000000000;6.0000000000000000;0
"POLYGON ((19 6,19 7,20 7,20 6,19 6))";19.0000000000000000;6.0000000000000000;20.0000000000000000;7.0000000000000000;0
"POLYGON ((19 7,19 8,20 8,20 7,19 7))";19.0000000000000000;7.0000000000000000;20.0000000000000000;8.0000000000000000;0
"POLYGON ((19 8,19 9,20 9,20 8,19 8))";19.0000000000000000;8.0000000000000000;20.0000000000000000;9.0000000000000000;0
"POLYGON ((19 9,19 10,20 10,20 9,19 9))";19.0000000000000000;9.0000000000000000;20.0000000000000000;10.0000000000000000;0
"POLYGON ((19 10,19 11,20 11,20 10,19 10))";19.0000000000000000;10.0000000000000000;20.0000000000000000;11.0000000000000000;0
"POLYGON ((19 11,19 12,20 12,20 11,19 11))";19.0000000000000000;11.0000000000000000;20.0000000000000000;12.0000000000000000;0
"POLYGON ((19 12,19 13,20 13,20 12,19 12))";19.0000000000000000;12.0000000000000000;20.0000000000000000;13.0000000000000000;0
"POLYGON ((19 13,19 14,20 14,20 13,19 13))";19.0000000000000000;13.0000000000000000;20.0000000000000000;14.0000000000000000;0
"POLYGON ((19 14,19 15,20 15,20 14,19 14))";19.0000000000000000;14.0000000000000000;20.0000000000000000;15.0000000000000000;1
"POLYGON ((19 15,19 16,20 16,20 15,19 15))";19.0000000000000000;15.0000000000000000;20.0000000000000000;16.0000000000000000;1
"POLYGON ((19 16,19 17,20 17,20 16,19 16))";19.0000000000000000;16.0000000000000000;20.0000000000000000;17.0000000000000000;0
"POLYGON ((19 17,19 18,20 18,20 17,19 17))";19.0000000000000000;17.0000000000000000;20.0000000000000000;18.0000000000000000;0
"POLYGON ((19 18,19 19,20 19,20 18,19 18))";19.0000000000000000;18.0000000000000000;20.0000000000000000;19.0000000000000000;0
"POLYGON ((19 19,19 20,20 20,20 19,19 19))";19.0000000000000000;19.0000000000000000;20.0000000000000000;20.0000000000000000;0
